"host","latitude","longitude"
"LOJA_SBP_SDWAN_SEAL","-23.722996600341","-46.544458850046"
"LOJA_PAP_SDWAN_YSSY","-23.570207871639","-46.660892190531"
"LOJA_PLA_SDWAN_SEAL","-23.619524868169","-46.626183659847"
"LOJA_PGR_SDWAN_SEAL","-23.997888455556","-46.406095081281"
"LOJA_ROR_SDWAN_SEAL","2.85064677058610","-60.705832171791"
"LOJA_SMC_SDWAN_SEAL","-16.741939002932","-43.869461285136"
"LOJA_XCG_SDWAN_SEAL","-20.458737343259","-54.587379746427"
"LOJA_NOR_SDWAN_SEAL","-26.863551169193","-49.091687254216"
"LOJA_WAL_SDWAN_SEAL","-30.011640181094","-51.160291642476"
"LOJA_PKS_SDWAN_SEAL","-22.521723888943","-44.079571155619"
"LOJA_TRZ_SDWAN_SEAL","-3.8624871291313","-38.470614425203"
"LOJA_NIG_SDWAN_SEAL","-22.762702974308","-43.464499044526"
"LOJA_XBO_SDWAN_SEAL","-19.920560838882","-43.919634505958"
"LOJA_QBR_SDWAN_YSSY","-15.786432677391","-47.888293408445"
"LOJA_VAV_SDWAN_YSSY","-20.351911113149","-40.296644320002"
"LOJA_SAN_SDWAN_YSSY","-23.976783426830","-46.310565531002"
"LOJA_OCT_SDWAN_SEAL","-23.420042484517","-47.162110658004"
"LOJA_VOL_SDWAN_YSSY","-23.595412063611","-46.686307062736"
"LOJA_OUT_SDWAN_YSSY","-23.108390667623","-47.009312592390"
"LOJA_PTP_SDWAN_SEAL","-22.512164720284","-43.176823944532"
"LOJA_RMK_SDWAN_YSSY","-3.7260614100648","-38.566497361989"
"LOJA_XAL_SDWAN_SEAL","-9.5591918127859","-35.744903433671"
"LOJA_SCL_SDWAN_SEAL","-25.319644071538","-51.421419090737"
"LOJA_TER_SDWAN_YSSY","-5.0770528600908","-42.800643977884"
"LOJA_SAL_SDWAN_YSSY","-12.981081276885","-38.464521950259"
"LOJA_POR_SDWAN_YSSY","-8.7478866906817","-63.875064842918"
"LOJA_SJV_SDWAN_YSSY","-23.216478738482","-45.891826323071"
"LOJA_TIE_SDWAN_YSSY","-23.506350247227","-46.717802486837"
"LOJA_SBV_SDWAN_YSSY","-12.969775850230","-38.474013431222"
"LOJA_TUC_SDWAN_YSSY","-23.480180395609","-46.602124759850"
"LOJA_TIJ_SDWAN_YSSY","-22.921839317790","-43.234343738979"
"LOJA_SPM_SDWAN_YSSY","-23.678467343394","-46.698030073339"
"LOJA_PAN_SDWAN_YSSY","-15.575445232046","-56.071936848370"
"LOJA_SLU_SDWAN_YSSY","-2.5105373008690","-44.285175938701"
"LOJA_WES_SDWAN_YSSY","-23.526988435227","-46.673368477598"
"LOJA_TEZ_SDWAN_YSSY","-5.0852468226097","-42.789847479172"
"LOJA_PRA_SDWAN_YSSY","-30.049423658299","-51.227627429954"
"LOJA_SOB_SDWAN_YSSY","-3.6969161661004","-40.347488550344"
"LOJA_TAG_SDWAN_YSSY","-15.841247357446","-48.043667280897"
"LOJA_REC_SDWAN_YSSY","-8.1189393789140","-34.904443598187"
"LOJA_PCA_SDWAN_YSSY","-29.915567288372","-51.164072727137"
"LOJA_TAC_SDWAN_YSSY","-8.0379398342483","-34.871114431279"
"LOJA_UBA_SDWAN_YSSY","-18.957184090835","-48.277281577143"
"LOJA_STB_SDWAN_YSSY","-15.803421012033","-47.939823719531"
"LOJA_XAG_SDWAN_SEAL","-23.420149690402","-51.969685959852"
"LOJA_POG_SDWAN_YSSY","-25.094413642205","-50.151299471454"
"LOJA_RIF_SDWAN_YSSY","-3.7416150828795","-38.469731977331"
"LOJA_SJP_SDWAN_YSSY","-25.538545227181","-49.203829654253"
"LOJA_XBT_SDWAN_SEAL","-25.442716335088","-49.290394878836"
"LOJA_PAT_SDWAN_YSSY","-15.795931348007","-47.891054237280"
"LOJA_PAL_SDWAN_YSSY","-25.477549582236","-49.290430090481"
"LOJA_QPT_SDWAN_YSSY","-23.570554771015","-46.642190335267"
"LOJA_NIT_SDWAN_YSSY","-22.896293459576","-43.123691069104"
"LOJA_PEM_SDWAN_YSSY","-9.6273100467326","-35.698423719617"
"LOJA_SRS_SDWAN_SEAL","-22.236283291915","-45.886493212008"
"LOJA_XBN_SDWAN_SEAL","-22.925122913880","-47.12687744637"
"LOJA_TAT_SDWAN_SEAL","-23.541603984200","-46.575930213824"
"LOJA_XAM_SDWAN_YSSY","-0.0084507232766","-51.079891769947"
"LOJA_XBM_SDWAN_YSSY","-22.368490799553","-46.952512013852"
"LOJA_XBK_SDWAN_YSSY","-16.324039857919","-48.948311773497"
"LOJA_XBI_SDWAN_YSSY","-23.516130861102","-46.854345231573"
"LOJA_OIM_SDWAN_YSSY","-23.758274167175","-46.588793124905"
"LOJA_XAC_SDWAN_YSSY","-9.6485815344459","-35.715101006123"
"LOJA_XBF_SDWAN_YSSY","-22.947266883379","-43.182400709584"
"LOJA_SCC_SDWAN_YSSY","-24.946362559940","-53.433664232825"
"LOJA_XAU_SDWAN_YSSY","-3.8797574154062","-38.621159635001"
"LOJA_XAI_SDWAN_YSSY","-23.966998702850","-46.383161334698"
"LOJA_XBZ_SDWAN_YSSY","-23.723094822924","-46.544104798478"
"LOJA_XGU_SDWAN_SEAL","-23.487981880670","-46.548646532862"
"LOJA_XLO_SDWAN_SEAL","-23.342409366170","-51.185204351903"
"QUIOSQUE_LCE_SDWAN_SEAL","-23.558144259277","-46.659100336556"
"LOJA_XDP_SDWAN_SEAL","-22.847447634483","-47.062514417537"
"LOJA_XSP_SDWAN_SEAL","-23.976832442054","-46.310629904014"
"LOJA_XEL_SDWAN_SEAL","-23.572389741018","-46.695632194226"
"LOJA_XMC_SDWAN_SEAL","-23.579703851421","-46.594272007720"
"LOJA_XPA_SDWAN_SEAL","-30.025178438739","-51.162103322879"
"LOJA_XJS_SDWAN_SEAL","-23.630209306444","-46.734704091089"
"LOJA_XGO_SDWAN_SEAL","-16.710158402126","-49.236664380882"
"LOJA_XGS_SDWAN_SEAL","-16.708175994182","-49.272208188832"
"LOJA_XFO_SDWAN_SEAL","-3.7558332803821","-38.489012309862"
"LOJA_XTA_SDWAN_SEAL","-23.541594148322","-46.575265026029"
"LOJA_XSC_SDWAN_SEAL","-23.625966983215","-46.579637084986"
"LOJA_XJA_SDWAN_SEAL","-22.955417854931","-43.333634170514"
"LOJA_XMO_SDWAN_SEAL","-23.623194672847","-46.698105642657"
"LOJA_XDI_SDWAN_SEAL","-19.927773266664","-43.946717458085"
"LOJA_XSS_SDWAN_SEAL","-12.977500200947","-38.454639506082"
"LOJA_XCM_SDWAN_SEAL","-25.423300939845","-49.269592902129"
"LOJA_XCN_SDWAN_SEAL","-23.515775322803","-46.617066273343"
"LOJA_XJO_SDWAN_SEAL","-26.253797100384","-48.852544603954"
"LOJA_XVI_SDWAN_SEAL","-20.312184994613","-40.287362958077"
"LOJA_XRF_SDWAN_SEAL","-3.7416257888466","-38.469957282874"
"LOJA_XPI_SDWAN_SEAL","-22.703879412227","-47.649231288705"
"LOJA_XPP_SDWAN_SEAL","-23.570554771015","-46.643016455593"
"LOJA_XCP_SDWAN_SEAL","-23.563433470626","-46.652161490531"
"LOJA_XGP_SDWAN_SEAL","-23.648405354126","-46.531916808509"
"LOJA_XGV_SDWAN_SEAL","-23.591979993554","-46.832187459847"
"LOJA_XMG_SDWAN_SEAL","-23.515574484694","-46.179374123063"
"LOJA_XPL_SDWAN_SEAL","-23.619505208085","-46.626269490530"
"LOJA_XJU_SDWAN_SEAL","-23.198999152675","-46.890032180742"
"LOJA_XTB_SDWAN_SEAL","-23.504200860160","-46.833835619368"
"LOJA_XPM_SDWAN_SEAL","-23.443474060499","-46.539120982584"
"LOJA_XSM_SDWAN_SEAL","-23.965824420401","-46.334275938393"
"LOJA_XPK_SDWAN_SEAL","-15.833209692786","-47.954429121379"
"LOJA_XPC_SDWAN_SEAL","-29.915567288372","-51.163547014203"
"LOJA_XME_SDWAN_SEAL","-23.463546386697","-45.101368572972"
"LOJA_XCX_SDWAN_SEAL","-29.175641434319","-51.220395032144"
"LOJA_XCV_SDWAN_SEAL","-23.199593982443","-45.880959750059"
"LOJA_XCJ_SDWAN_SEAL","-15.791095154143","-47.882791765556"
"LOJA_XJP_SDWAN_SEAL","-7.0986988473906","-34.84438481779"
"LOJA_XMB_SDWAN_SEAL","-22.971306667041","-43.371871261711"
"LOJA_XUB_SDWAN_SEAL","-18.910520485733","-48.260298236662"
"LOJA_XNS_SDWAN_SEAL","-5.8419973630090","-35.211091446637"
"LOJA_XUS_SDWAN_SEAL","-18.957173943914","-48.276777321879"
"LOJA_XNT_SDWAN_SEAL","-22.896332993638","-43.122993694803"
"LOJA_XMA_SDWAN_SEAL","-3.1035532479909","-60.012814371790"
"LOJA_XCS_SDWAN_SEAL","-27.614764963279","-48.646029951787"
"LOJA_XSV_SDWAN_SEAL","-19.940301740291","-43.933512980817"
"LOJA_XIA_SDWAN_SEAL","-23.504317712453","-46.848008151899"
"LOJA_XPB_SDWAN_SEAL","-29.270564929311","-47.124067556379"
"LOJA_XHG_SDWAN_SEAL","-23.542119103960","-46.657042384988"
"LOJA_XIS_SDWAN_SEAL","-23.528421188665","-47.441812390536"
"QUIOSQUE_LIG_SDWAN_SEAL","-23.576867580612","-46.687622575189"
"LOJA_XRI_SDWAN_SEAL","-21.212599152124","-47.815792899826"
"LOJA_XUA_SDWAN_SEAL","-19.766052021149","-47.950239888772"
"LOJA_XRD_SDWAN_SEAL","-23.001211710513","-43.385758811430"
"LOJA_XTG_SDWAN_SEAL","-15.841257678819","-48.043699467403"
"LOJA_XPE_SDWAN_SEAL","-9.6272465803131","-35.697887277847"
"LOJA_XGD_SDWAN_SEAL","-7.2345698204548","-35.869263638676"
"LOJA_XSL_SDWAN_SEAL","-2.5104622710999","-44.285283227055"
